size_k,itemset,count
2,"('Mental Health', 'Pregnancy')",905
2,"('Medical', 'Pregnancy')",702
2,"('Abuse', 'Mental Health')",639
2,"('Medical', 'Mental Health')",588
2,"('Mental Health', 'Sexual')",270
2,"('Abuse', 'Sexual')",249
2,"('Discrimination', 'Mental Health')",171
2,"('Discrimination', 'Pregnancy')",122
2,"('Abuse', 'Pregnancy')",119
2,"('Abuse', 'Discrimination')",95
2,"('Discrimination', 'Medical')",81
2,"('Abuse', 'Aggression')",80
2,"('Aggression', 'Mental Health')",78
2,"('Pregnancy', 'Sexual')",67
2,"('Abuse', 'Medical')",61
2,"('Medical', 'Sexual')",49
2,"('Aggression', 'Sexual')",36
2,"('Discrimination', 'Sexual')",28
2,"('Aggression', 'Pregnancy')",18
2,"('Aggression', 'Discrimination')",17
2,"('Aggression', 'Medical')",7
2,"('Mental Health', 'Not Applicable')",1
2,"('Not Applicable', 'Pregnancy')",1
3,"('Medical', 'Mental Health', 'Pregnancy')",561
3,"('Abuse', 'Mental Health', 'Sexual')",238
3,"('Abuse', 'Mental Health', 'Pregnancy')",115
3,"('Discrimination', 'Mental Health', 'Pregnancy')",110
3,"('Abuse', 'Discrimination', 'Mental Health')",91
3,"('Abuse', 'Aggression', 'Mental Health')",77
3,"('Discrimination', 'Medical', 'Pregnancy')",76
3,"('Discrimination', 'Medical', 'Mental Health')",73
3,"('Abuse', 'Medical', 'Mental Health')",60
3,"('Mental Health', 'Pregnancy', 'Sexual')",57
3,"('Abuse', 'Medical', 'Pregnancy')",46
3,"('Medical', 'Mental Health', 'Sexual')",41
3,"('Medical', 'Pregnancy', 'Sexual')",40
3,"('Abuse', 'Aggression', 'Sexual')",36
3,"('Aggression', 'Mental Health', 'Sexual')",36
3,"('Abuse', 'Discrimination', 'Pregnancy')",32
3,"('Discrimination', 'Mental Health', 'Sexual')",27
3,"('Abuse', 'Pregnancy', 'Sexual')",26
3,"('Abuse', 'Medical', 'Sexual')",22
3,"('Abuse', 'Discrimination', 'Sexual')",21
3,"('Abuse', 'Discrimination', 'Medical')",20
3,"('Aggression', 'Mental Health', 'Pregnancy')",18
3,"('Abuse', 'Aggression', 'Pregnancy')",17
3,"('Aggression', 'Discrimination', 'Mental Health')",17
3,"('Abuse', 'Aggression', 'Discrimination')",16
3,"('Discrimination', 'Pregnancy', 'Sexual')",11
3,"('Discrimination', 'Medical', 'Sexual')",10
3,"('Aggression', 'Discrimination', 'Pregnancy')",8
3,"('Abuse', 'Aggression', 'Medical')",7
3,"('Aggression', 'Medical', 'Mental Health')",7
3,"('Aggression', 'Pregnancy', 'Sexual')",5
3,"('Aggression', 'Discrimination', 'Sexual')",5
3,"('Aggression', 'Medical', 'Sexual')",4
3,"('Aggression', 'Discrimination', 'Medical')",3
3,"('Aggression', 'Medical', 'Pregnancy')",2
3,"('Mental Health', 'Not Applicable', 'Pregnancy')",1
4,"('Discrimination', 'Medical', 'Mental Health', 'Pregnancy')",68
4,"('Abuse', 'Medical', 'Mental Health', 'Pregnancy')",45
4,"('Abuse', 'Aggression', 'Mental Health', 'Sexual')",36
4,"('Medical', 'Mental Health', 'Pregnancy', 'Sexual')",32
