itemset,count
"('Discrimination', 'Medical', 'Mental Health', 'Pregnancy')",68
"('Abuse', 'Medical', 'Mental Health', 'Pregnancy')",45
"('Abuse', 'Aggression', 'Mental Health', 'Sexual')",36
"('Medical', 'Mental Health', 'Pregnancy', 'Sexual')",32
"('Abuse', 'Discrimination', 'Mental Health', 'Pregnancy')",30
"('Abuse', 'Mental Health', 'Pregnancy', 'Sexual')",26
"('Abuse', 'Medical', 'Mental Health', 'Sexual')",22
"('Abuse', 'Discrimination', 'Mental Health', 'Sexual')",21
"('Abuse', 'Discrimination', 'Medical', 'Mental Health')",20
"('Abuse', 'Aggression', 'Mental Health', 'Pregnancy')",17
"('Abuse', 'Aggression', 'Discrimination', 'Mental Health')",16
"('Abuse', 'Discrimination', 'Medical', 'Pregnancy')",15
"('Abuse', 'Medical', 'Pregnancy', 'Sexual')",13
"('Discrimination', 'Mental Health', 'Pregnancy', 'Sexual')",10
"('Discrimination', 'Medical', 'Mental Health', 'Sexual')",9
"('Discrimination', 'Medical', 'Pregnancy', 'Sexual')",8
"('Aggression', 'Discrimination', 'Mental Health', 'Pregnancy')",8
"('Abuse', 'Aggression', 'Medical', 'Mental Health')",7
"('Abuse', 'Aggression', 'Discrimination', 'Pregnancy')",7
"('Abuse', 'Aggression', 'Pregnancy', 'Sexual')",5
"('Aggression', 'Mental Health', 'Pregnancy', 'Sexual')",5
"('Abuse', 'Aggression', 'Discrimination', 'Sexual')",5
"('Aggression', 'Discrimination', 'Mental Health', 'Sexual')",5
"('Abuse', 'Discrimination', 'Medical', 'Sexual')",5
"('Abuse', 'Aggression', 'Medical', 'Sexual')",4
"('Aggression', 'Medical', 'Mental Health', 'Sexual')",4
"('Abuse', 'Discrimination', 'Pregnancy', 'Sexual')",4
"('Abuse', 'Aggression', 'Discrimination', 'Medical')",3
"('Aggression', 'Discrimination', 'Medical', 'Mental Health')",3
"('Abuse', 'Aggression', 'Medical', 'Pregnancy')",2
"('Aggression', 'Discrimination', 'Medical', 'Pregnancy')",2
"('Aggression', 'Medical', 'Mental Health', 'Pregnancy')",2
"('Aggression', 'Discrimination', 'Medical', 'Sexual')",1
