threshold,coverage,error_rate,n_accepted
1.0000010280388834,0.008,0.0,1
1.0000028637788045,0.032,0.0,4
1.0000052240208828,0.056,0.0,7
1.0000072981779504,0.08,0.0,10
1.000009777635785,0.104,0.0,13
1.0000153921999968,0.128,0.0625,16
1.000025465117853,0.152,0.21052631578947367,19
1.0000427621647372,0.176,0.18181818181818177,22
1.000056101716489,0.2,0.16000000000000003,25
1.000075402046662,0.224,0.1785714285714286,28
1.000096514828972,0.264,0.18181818181818177,33
1.000163242431872,0.28,0.19999999999999996,35
1.0002765573807593,0.304,0.21052631578947367,38
1.0004309170094985,0.328,0.24390243902439024,41
1.0005537104712394,0.352,0.2727272727272727,44
1.0008113280759114,0.376,0.276595744680851,47
1.0010675820965909,0.4,0.30000000000000004,50
1.0014039769679626,0.424,0.30188679245283023,53
1.0018453792362263,0.448,0.3035714285714286,56
1.0031129703376747,0.472,0.3220338983050848,59
1.0052477234535628,0.504,0.3492063492063492,63
1.0069296988121867,0.528,0.3484848484848485,66
1.011109381017094,0.552,0.34782608695652173,69
1.011110216654498,0.576,0.3472222222222222,72
1.0183163460887548,0.6,0.3466666666666667,75
1.026858560020918,0.624,0.34615384615384615,78
1.0353447012387802,0.648,0.37037037037037035,81
1.0497894254826718,0.672,0.36904761904761907,84
1.100737727623779,0.696,0.3908045977011494,87
1.1054011182484806,0.72,0.4111111111111111,90
1.1353376579778816,0.752,0.4148936170212766,94
1.1737752846079013,0.776,0.4329896907216495,97
1.1737766418803748,0.808,0.4554455445544554,101
1.1885834542010487,0.824,0.4563106796116505,103
1.2484820825599572,0.848,0.4528301886792453,106
1.3271952402658789,0.872,0.4678899082568807,109
1.3678840562133303,0.896,0.4821428571428571,112
1.5662845795996645,0.92,0.4869565217391304,115
1.6065365713376434,0.944,0.4915254237288136,118
1.778806884784927,0.968,0.5041322314049587,121
2.000009063735852,1.0,0.504,125
